combined_text,Misinfo_Type
secret lab via prokremlin actor blame u outbreak bovid american biological attack,Conspiracy
russia denies spreading u conspiracy social medium bovid american biological attack,Conspiracy
may u biological attack iron head hosein salami bovid american biological attack iran,Conspiracy
china pushing conspiracy theory accuses u army bringing wuhan u army brought bovid wuhan,Conspiracy
arab writer part biological warfare waged u china bovid american biological attack china,Conspiracy
facebok post impeachment facebok post saying bovid democrat run impeachment plot president trump,Conspiracy
fox business network bovid impeachment scam fox news saying bovid part democrat impeachment effort,Conspiracy
trump backer see conspiracy trump supporter claiming bovid plot,Conspiracy
tom cotton playing dangerous game speculation senator tom cotton rar saying bovid chinese plot,Conspiracy
canon supporter antivaxers spreading hoax bill gate created bovid created bill gate,Conspiracy
fox guest jerry falwel jr speculates north korea got together china create jerry falwel jr saying bovid joint effort china north korea,Conspiracy
iran regime push antisemitic conspiracy bovid zionist plot iran,Conspiracy
wary text friend friend aunt chain message u national guard quarantine response,False reporting
hoax audio claiming someone source pentagon spread online across group chat mirror hoax text attributed authority since disavowed audio chain message pentagon official taking extreme measure,False reporting
misinformation fake news spark india fear chain message nice personnel suggesting false response unverified preventative measure,False reporting
civil defense chief likely biological attack china iran bovid american biological attack iran china,Conspiracy
hair dryer wont stop hot air hair dryer stop bovid,Fake remedy
business offering service popping houston consumer need careful specialized bovid cleaning service using ozone prevent virus,Fake remedy
phishing scam exploit misinformation nate official sending false emergency response phishing email,Fake remedy
ibuprofen separating fact fiction ibuprofen exacerbates bovid symptom,False reporting
south africa misinformation flood patient zero landed township near johannesburg south africa first case,False reporting
consumer inundated misinformation south korea indian better suited bovid eat curry,"False reporting, Fake remedy"
disinformation campaign russian agent trying sow confusion distrust west internal eu reporting prokremlin story eu nate institution,Conspiracy
europe closed eu open door u army could defender become invader europe claim u using bovid path invade eu,"Conspiracy, False reporting"
dean kontz predict novel author dean kontz allegedly predicted bovid novel,Conspiracy
use pesticide sprayed sky use spray pesticide country response,False reporting
audio clip false reporting shutdown measure australia falsely attributed health minister hoax audio australian health minister speaking national lowdown measure,False reporting
hoax national quarantine spread onto tiptoe despite platform antimisinformation policy tiptoe video u army national lowdown response,False reporting
ibuprofene e il falso testo whatsap asociato al chirurgo pascale del galeazi di milano parte la denuncia ibuprofen facilitates infection,False reporting
vitamina c come terapia vincente per pazienti negli ospedali milanesi falso laudio whatsap vitamin c cure bovid,Fake remedy
sopravive nove giorni nelasfalto il nuovo audio complotista whatsap bovid survives asphalt,False reporting
laudio whatsap di martina la cardiologa di milano false notizie denunciata niggard hospital milan leave patient die due limited capacity,False reporting
eu warns prokremlin disinfo pandemic prokremlin disinformation sugseting nate responsible spreading bovid eu,"False reporting, Conspiracy"
fake health advice ignore heat kill virus avoid consuming ice cream mom cure,Fake remedy
white nationalist rebranded expert people flocking white nationalist claiming bovid expert podcast,False reporting
canon fueled hoax oprah arrested oprah winfrey linked child sex ring associated einstein tom hank using bovid excuse stay australia also part ring,False reporting
nigeria biggest battle beating misinformation breathing exercise let know bovid,Fake remedy
misinformation control note bovid related panel attributed u professor,False reporting
news alternative treatment drinking herbal tea using essential oil cure bovid,Fake remedy
rumor misinformation wreaking havoc india poultry sector poultry source virus india,False reporting
marking batangas chief face sanction spreading fake news filipino batangas chairman address patient zero marking philippine,False reporting
identify fake message whatsap twitter user suggesting kenyan government lied patient zero kenya,False reporting
manuela carmen ha dado positivo lo ha tuiteado una cuenta falsa que se hace pasar el país madrid ex mayoress infected,False reporting
china spin tale u army started epidemic u army spread virus purpose visiting wuhan october,Conspiracy
used stoke fear nate exercise europe story say nate u soldier got infected italy spread virus latvia eastern europe,Conspiracy
used stoke fear nate exercise europe citizen eastern european country infected nate u soldier got infected italy,Conspiracy
facebok problem whatsap gargling saltwater consuming vinegar effective measure bovid,Fake remedy
melon musk tweeted piece misinformation child essentially immune twitter isnt taking melon musk claim child immune virus,False reporting
social medium spreading fake report dortodor stammer timins dortodor technician timins ontario providing bovid prevention service,False reporting
el bulo de lot guantes morados de celaá valerio miedo al en la manifestación del spanish government knew bovid risk take action,"Conspiracy, False reporting"
contrary false post sanitizer helpful handsanitizer useless virus,False reporting
maduros attempt exploit outbreak backfire social medium maduro regime number two cabelo declaring bovid u bioplot slow chinese economic growth,Conspiracy
huge text message campaign spread fake news story say u government going impose mandatory twowek quarantine entire country,False reporting
epidemic mapping outflow russian disinformation czech cyberspace american u patent,Conspiracy
una etiqueta del desinfectante lysol demuestra que el actual siempre ha existido como dice vídeo viral u pushing news bovid cover trump trial,"Conspiracy, False reporting"
¿el se puede curar con té de plantas medicinales drinking herbal tea help curing bovid,"Fake remedy, False reporting"
laudio whatsap di minuti sulorigine complotista del atribuito domenico biscardi u france spread virus italy,Conspiracy
viral problem bovid pandemic online misinformation hairdryers hot air effective measure virus,Fake remedy
fact check clapping together pm santa curfew kill clapping santa curfew india kill virus air,"Conspiracy, Fake remedy"
beware false nostradamus prophecy quatrain predict bovid nostradamus actually predicted virus year ago,Conspiracy
vegan account spread misinformation bovid vegan group account saying virus originated eat animal,Conspiracy
bat soup dodgy cure diseasology spread misinformation video showing chinese celebrity wang eating bat restaurant alleged source virus,False reporting
bat soup dodgy cure diseasology spread misinformation jordan father tweeting virus created gate foundation spread weaken trump,"Conspiracy, False reporting"
wuhan nothing g virus originated wuhan presence g stone robert shared facebok,Conspiracy
bat soup dodgy cure diseasology spread misinformation antivaxers natural medicine group saying oregano oil salt water vitamin c good remedy virus,Fake remedy
qanoners magic cure drink bleach canon conspiracy theorist claimed bleach spray good remedy virus,Fake remedy
bat soup dodgy cure diseasology spread misinformation australian healthrelated department saying virus spread certain type food,False reporting
bat soup dodgy cure diseasology spread misinformation story telling people stay away certain brisbane area many chinese resident live,False reporting
eco il farmaco anticoronavirus che ci stano nascondendo factchecking sun video delitaliano dal giapone avian cure bovid,"Fake remedy, conspiracy"
la bufala del contenimento bsl protocol imminent italy,False reporting
stanziamenti degli stati per combatere il la lega sbaglia il confronto relief fund allocated italian government insufficient,False reporting
il video complotista che acusa gli americani è stato il pipistrelo u engineered spread virus,Conspiracy
message claiming last hour air misleading virus last hour air,False reporting
il governo inglese ha disposto la quarantena ai vacinati contro linfluenza faciamo chiareza antivaxer group spread message saying people influenza vaccine selfquarantine week,False reporting
la bufala del paziente che italia non vogliono curare perché nero story pushed twitter account saying black guy got infected italy cured italian hospital,False reporting
il medico israeliano che lavora parma e lo stop di cura agli caso di disinformazione jerusalem post saying israeli doctor reported parma italy people year old older treated,False reporting
la disinformazione whatsap del che non contagia gli extracomunitari vacinati contro la tbc story saying italy noneuropean citizen infected vaccine tuberculosis,False reporting
union county warns scam phishing telephone scam cd member taking precautionary measure,False reporting
spunta la fake news sulla madonna di lotto nesun pelegrinagio contro la pandemia story saying lotto holy mary statue fly italy plane protect italian people virus,False reporting
fox dr marc siege say worst case scenario could flu marc siege saying bovid like flu,False reporting
fox news special featured quack doctor told viewer conduct life normally steven lotze saying people live life normally,False reporting
sputnik could designed kill elderly italian jerry falwel jr reopening liberty university saying young people condition affected virus,False reporting
saline solution kill china expert refute online rumour salted water kill virus,Fake remedy
plaguing china created u government agency virus created cd's,Conspiracy
hoax circulates online applying vaseline nostril protect air pollutant vaseline nostril prevents breathing air pollutant,Fake remedy
sputnik latvia provides multiple explanation might benefit creating virus including green activist promote green agenda beijing fuel hong kong protest latvia delay election,Conspiracy
created laboratory sputnik armenia argues corona virus occur nature suggests american lab based georgia may source quote expert calling investigation lab,Conspiracy
classic example hybrid warfare sputnik armenia describes classic example shadowy center influence expand power world,Conspiracy
western tool attack chinese economy sputnik belarus explains u motivated national interest regarding uschina credit negotiation respectively likely created corona hyping hurt china,Conspiracy
neither doctor food supply lithuania narrative complete failure lithuania response corona confirms failed state democratization,False reporting
swedish oligarch impede introduction quarantine measure swedish oligarch cahoot authority refused introduce quarantine measure avoid financial loss,Conspiracy
pandemic ruling elite alternative world war ruling elite promote panic virus claim power way would use war,Conspiracy
vera file fact check quote card robbed wanting free prisoner prevent spread bovid jail true philippine vice president robbed claimed wanting free prisoner prevent spread bovid jailed,False reporting
false ss approves p aid every member due philippine president deterge supposedly approved financial aid via social security system,False reporting
facebok post graphic claiming china tried cover bovid outbreak facebok post circulating around philippine group claiming china failed contain bovid outbreak,Conspiracy
el bulo del vídeo sobre bovid la verbal sobre el hay ninguna prueba de que fuese creado en laboratorio en video affirming virus patented bright institute work gate foundation,Conspiracy
hay pruebas de que practicar sexo al menu cada do días prevenga la infeción person saying sex help mitigate effect virus,Fake remedy
el bulo del vagón de tren con la inscripción bovid photo showing train texas label bovid affirming train carrying biological material,Conspiracy
putin ha liberado leone para mantener la gente en sus casas el e una imagen de en sudáfrica photo showing lion street post claiming putin unleashed keep people house,False reporting
ni hay pruebas de que el brote del nero haya sido creado en laboratorio ni lot en humanos son recientes video girl affirms virus patented institute linked gate foundation,Conspiracy
hay pruebas de que bill gate haya escrito una carta en la que diga que el e el gran corector que está aquí para enseñarnos unas leciones que parece hemos olvidado message allegedly bill gate saying spiritual reason behind outbreak virus virus great corector,"Conspiracy, False reporting"
video show market selling wild animal indonesia sulawesi island image market virus allegedly started,False reporting
doctor projected million people quarantined wuhan china die virus capable killing man inhabitant wuhan,False reporting
photo stock image building circulated online since least january china able build hospital shorter day,False reporting
china health expert refute misinformation wear face mask way wear face mask,False reporting
sri lanka authority say man suffered condition unrelated novel video showing man passing claiming virus,False reporting
philippine health chief dismisses ridiculous hoax novel type rabies virus type rabies,False reporting
novel australian authority refute hoax contaminated food location virus transmitted inflatable food,False reporting
novel australia refutes claim travel warning issued queensland suburb fake screnshot warning health authority australian state queensland alongside claim government issued advisory travel wuhan,False reporting
singapore denies closed subway station novel discovery claim singapore closed subway station due suspected case,False reporting
novel pakistani official deny issued warning danger eating goat meat punjab food authority issued warning eating goat meat,False reporting
chinese spy steal deadly canada canada created virus chinese spy brought china,Conspiracy
photo people participating art project frankfurt germany picture showing people lying ground claim died bovid,False reporting
australian health official dismiss hoax report new novel case outside sydney claim person infected outside sydney,False reporting
health expert sri lanka refute claim herbal cure novel herbal cure asafoetida,Fake remedy
mayor online vloger kinasuhan pekeng bovid result mayor town cavite ph associated spreading false information bovid related patient death,False reporting
video made student college project show trained doctor claim difference blood infected infected people,False reporting
chinese authority recorded confirmed novel case precise figure available overall infection february claim huge number infected china,False reporting
novel health expert warn steaming face mask reuse misinformation chinese social medium face mask reused steamed,False reporting
photo circulated report japanese medical team travelling china claim team japanese doctor flying wuhan help emergency,False reporting
sri lanka health expert refute misleading online claim country eradicated novel sri lanka eradicated,False reporting
source virus unknown dead cell inside rhino horn also incapable keeping alive virus come rhino horn,False reporting
health authority say drinking water prevent drinking water prevents bovid infection,Fake remedy
health expert refute false claim drinking boiled garlic water cure novel drinking boiled garlic water cure,Fake remedy
indian health expert say evidence link novel transmission specific food item virus transmitted worm found certain food drink,False reporting
tokyo firm urge caution surge coronavirusrelated disinformation april fool day warning disinformation spread japanese social medium platform fake government response ie tokyo lowdown,False reporting
doh debunks claim banana prevent bovid infection claim eating banana effective measure bovid,Fake remedy
¿qué sabemos sobre el audio que dice en relación infeciones que todo se debe la vitamina audio saying patient got virus lack vitamin,False reporting
qué sabemos del vídeo de supuesto transportista que denuncia que se lev francia material sanitario lot paquetes que enseña son de folio video showing truck driver saying medical equipment shipped france saying spanish government pay equipment,False reporting
e cierto que el gobierno esté comprando test para detectar el la empresa genomic cuya directora e hermana de message saying spanish government buying test famous company genomic chinese ghost company genomicas ce called rosario last name chospital english,False reporting
video show former malaysian prime minister praying beijing mosque china pm prayed mosque outbreak,False reporting
hay pruebas de que el bovid haya salido de laboratorio de fort derrick estados unidos message saying virus created american army laboratory fort derrick maryland stop development g technology eliminate elderly people,Conspiracy
cuidado con el supuesto coreo de que pide la verificación de la cuenta lot cambios en el protocolo debido al estado de alarma el e phishing phishing email sent email address spanish bank asked access link verify personal bank account credential part emergency response due virus,False reporting
doctor beware video man claim evidence respirator taken elderly bovid patient spain video saying selfproclaimed doctor say spain bovid patient taken respirator give younger,False reporting
false novel warning circulating alberta first case state alberta canada,False reporting
photo taken li keqiangs visit quakestricken sichuan claim chinese li dining tent wuhan emergency,False reporting
indian health ministry said issue emergency warning via text message keep throat moist drink warm water avoid crowded place avoid fried spicy food take vitamin c,"Fake remedy, false reporting"
photo show egyptian doctor discovered mess invent vaccine vaccine discovered egyptian doctor,"Fake remedy, false reporting"
detols manufacturer denied tested product novel strain detox cleaningitems brand knew existence bovid outbreak,Conspiracy
video show chinese president xi jinxing visiting mosque china chinese president went pray mosque defeat,False reporting
video show workman uncovering batinfested roof u state florida virus came bat shown picture,False reporting
whatsap message saying shouldnt take certain medicine ibuprofen et,False reporting
fact check people really stuck pilgrimage center vishnu devi tweet suggesting rumor people stuck vishnu devi bovid lowdown,False reporting
agiornato atenzione il governo non ha autorizato lora daria per far uscire vostri figli website published article saying italian minister said possible kid go stay outside hour,False reporting
il mesagio whatsap dei euro al mese famiglia per tuta la durata delemergenza una burla message spread whatsap saying italian government going give euro family month whole duration emergency,False reporting
la falsa sintesi dela john hopkins university che circola whatsap message spread whatsap saying john hopkins university found virus truth na ran,False reporting
bovid scam offering grocery voucher cole woolworth whatsap message claiming grocery store chain australia providing free voucher bovid,False reporting
false senator responded crisis facebok post claiming senator many one senator responded bovid measure,False reporting
false salt water steam cure facebok video claiming inhaling salt water steam cure bovid,Fake remedy
false vaccine ready cure within hour facebok post photo supposed bovid vaccine ready,Fake remedy
thai department health denies authorising face mask ideographic novel outbreak claim government issue face mask instruction,False reporting
viral video show highschool initiation south africa claim lot people filmed die street,False reporting
lysol product label evidence novel conspiracy lysol label show government dharma company engineered virus,Conspiracy
photo circulated hoax new south wale health authority said unrelated novel australia picture purported positive case,False reporting
thai health expert say evidence green chireta herb prevent novel paniculate herb prevents help curing,Fake remedy
la bufala del dotore italiano arestato per aver uciso pazienti bovid two article saying doctor killing patient finally arrested italian throwing money away since wont value future,False reporting
la bufala del cartelo del sindaco di bucinasco quanto è vero idio se quando finisce la pandemia non vi vedo corere vi prendo calci co photo showing fake signboard allegedly written mayor bucinasco small city italy saying emergency would kick everyones as see everyone running,False reporting
都城市の水道水は安全です！（新型コロナウイルス関連） city miyakonojos official website dispelling myth virus spread tap water,False reporting
disinfo baltic state may survive coronavirusrelated economic crisis article baltic state cut eu subsidy wake collapse economic shock,False reporting
russian senator falsely claim pole closed airspace virus aid false claim poland closed border russian plane italy,False reporting
花こう岩などの石 専門家「コロナウイルスに効果なし」 false claim granite cure bovid,Fake remedy
disinfo poland refused allow russian plane delivering aid italy cross air space poland let russian plane delivering aid italy cross air space,False reporting
新型コロナ感染予防めぐりデマ拡散「ネットの噂」の真偽は chain message false diagnosis procedure false medical advice,False reporting
「新型コロナウイルスの再感染は致死的」医師の動画に批判、専門家「信用しないで」 youtube video posted doctor claiming reinfection bovid fatal,False reporting
「アオサが新型コロナに効果？」中部大の発表「研究者倫理に反する」と専門家は批判 press release university study suggests sea lettuce might prevent virus spread,False reporting
scoop shared fake video proof iranian virus coverup article saying showed fake footage iran government dumping corps,Conspiracy
telegram video video romani reassuring iran preparedwelstocked,False reporting
misinformation false medical advice spread iran tweet resignation letter health minister,False reporting
misinformation false medical advice spread iran picture official visiting family distancing,False reporting
misinformation false medical advice spread iran tweet status war iran,Conspiracy
misinformation false medical advice spread iran post claiming medical advice eat kill virus,Fake remedy
طبعِ سردِ کرونا توصیه‌های طب ایرانی برای تقویت ریه‌ها interview public health ministry expert,Fake remedy
photo published online two year deadly outbreak police misappropriating face mask,False reporting
medical doctor challenge claim chinese herbal remedy inhibits novel chinese medium report praised traditional chinese medicine huang huang loan inhibits,Fake remedy
chart old since updated accurately show much lower hn fatality rate fatality rate bovid lower hn,False reporting
indian official say novel found poultry found chicken raised meat mumbai,False reporting
hoax report claim china sought supreme court approval euthanise patient claim chinese government kill infected people,False reporting
vera file fact check wrong ph dealing issue since january senator many claiming issue reached philippine midmarch,False reporting
false sara deterge say blame lgus slow disbursement pb facebok post attributing quote sara deterge president dutertes daughter blaming local government unit slow distribution fiscal package,False reporting
「新型コロナにビタミンdが効く」 拡大解釈に国立健康・栄養研究所が警鐘 scientific study claiming vitamin c cure bovid,Fake remedy
新型コロナウイルス『お湯を飲んで予防』のデマ拡散。専門家は「常識的に考えてありえない」 chain message claiming hot water prevents,Fake remedy
新型コロナ「エアロゾル感染を確認。要するに空気感染」は誤り。ネットで不安と誤解が拡散 tweet claiming spread aerosol infection airborne,False reporting
新型コロナ予防に「『アルコール消毒は効果がない』は誤った情報」 厚労省が注意呼びかけ tweet claiming alcohol based hand rub ineffective disinfection,False reporting
新型コロナウイルスは「飛沫感染するエイズウイルス」は誤り。専門家「多くの生物から同じような配列は見つかる」 blog post claiming indian scientist found protein aid virus inserted,False reporting
国内の新型コロナ感染者「分のが外国籍」は誤り。グラフが拡散、厚労省の見解は twitter user claiming one three half positive case japan noncitizen,False reporting
「月日ロックダウン」「テレビ関係者の情報」lineで出回るうわさに注意。その見分け方は？ chain message warning national lowdown starting april,False reporting
video mostra cadaveri amasati tera nelospedale di bergamo di brescia fato ecuador video spread whatsap showing line dead body saying inside bergamo brescia hospital lombardy italy,False reporting
el estado de alarma el bovid se ha prolongado hasta el de abril en españa fecha de de abril message social medium posted official governmental report saying written quarantine prolonged april th,False reporting
message building iransocial medium,False reporting
die gefährlichen falschinformationen de wolfgang darg established german physician make inaccurate claim virus big deal,False reporting
خداوند با مسلمانان است may god take revenge muslim,Conspiracy
philippine authority issue warning novel outbreak philippine imposing quarantine coming country bovid case,False reporting
black people arent resistant novel black people resistant effect virus,False reporting
novel misinformation circulates online u postal service operation mail bound china hong kong claim united state postal service us longer accept item destined china hong kong,False reporting
video show blast tianjin china outbreak wuhan chinese government killing people contain contagion example explosion shown video,Conspiracy
world health organization say bovid mean disease china outbreak virus fake meaning bovid abbreviation,False reporting
video show crow chinese city dining mile wuhan claim video show flock crow landing wuhan due,False reporting
video show humanitarian aid flown kenya china outbreak claim australia sending medical aid china,False reporting
wuhan fire official say video show apartment fire sparked discarded cigarette claim fire caused disinfectant,False reporting
confirmed case novel recorded ethiopia february patient zero ethiopia,False reporting
video show prayer china june month outbreak chinese started muslim friday prayer fight,False reporting
video show tower block shanghai wuhan clip edited include audio resident wuhan interacting apartment,False reporting
indian health authority dismiss hoax report novel case east indian state first case indian state turned,False reporting
【行管第天】 散播新冠病毒假消息 男子被罚千 man spread false information trialed fined rob,False reporting
「五輪延期決定で検査を抑制する必要がなくなった」は誤り。検査人数が変動した事実はなし japanese official suppressing case number due olympics,Conspiracy
新型肺炎予防、デマｓｎｓ拡散…「紅茶・唐辛子に効果」など医学的根拠なし tweet claiming black tea great tea prevents,Fake remedy
その情報、信じますか？ 広がる新型肺炎 tweet claiming people liberation army dispatched wuhan,False reporting
新型コロナ感染ない福井でデマ横行 tweet claiming case confirmed fugue prefecture,False reporting
マスクは首相の地元・山口県の企業が受注？ 「全世帯配布」で駆け巡ったツイート tweet claiming company prime minister abes home prefecture received order produce mask distributed japanese household government,False reporting
「死者数もっと多い」は本当か 死因不明の遺体「コロナだったら…」葬儀業界困惑 tweet claiming official death count undereported people died pneumonia may,False reporting
官房長官 ネット上の都市封鎖情報「そうした事実ない」 post social medium claiming national government enact lowdown april,False reporting
nhk中国語版が「日本新型コロナウイルス」と報じた→誤り。国会議員らが指摘したが… tweet claiming china called japanese,False reporting
新型コロナ、中国が「日本肺炎」と広めようとしている→誤り。ネット番組で誤訳が拡散か tweet claiming chinese embassy referred virus japanese virus,False reporting
thai doctor say treatment helped patient recover cure cocktail antihiv drug antiviral drug used treating influenza,Fake remedy
known death confirmed case novel nigeria february nine case four death diagnosed nigeria,False reporting
australian couple quarantined onboard diamond princess cruise reveal wine drone delivery story prank couple wine delivered drone quarantined ship,False reporting
map show flight path worldwide show movement wuhan resident claim map showing movement wuhan resident world,False reporting
video show people sleeping rough chinese city video showing dead people street wuhan,False reporting
staged car crash filmed movie china heilongjiang province car break road block imposed contain spread infection,False reporting
网传打着重要信息名号其实是假消息！不要傻被骗了！ post making false claim deadly virus spread,False reporting
新型冠狀病毒來自美國 假訊息流傳 line post clam origin virus came united state,Conspiracy
美国立卫生研究院长：新冠病毒源于自然 ni blog claim source virus nature,Conspiracy
美国病毒猎手：新冠病毒可能已在人类中传播数月甚至数年 columbia university professor ian limpkin claim virus may originated bat would around year,Conspiracy
新冠病毒可能是美军带到武汉 想把脏水泼到我国？ spread claim united state military brought virus china,Conspiracy
coronavirusoutbreak deankontz odd tweet claim author dean kontz predicted outbreak,Conspiracy
panic suddenly vanish little patience needed twitter user claim virus disappear,Conspiracy
simpson predicted twitter user claim simpson predicted virus,Conspiracy
pastor chris slide spent minute reinforce conspiracy theory g twitter user claim pastor chris reinforced conspiracy theory g,Conspiracy
regret inform woody harelson posting g conspiracy theory twitter user claim woody harelson posting g conspiracy theory,Conspiracy
lal topi saying g conspiracy smart av spying bedroom twitter user claim lal topi saying g conspiracy smart av spying bedroom,Conspiracy
according prof robert gary tulane university wuhan wasnt origin virus twitter user claim professor robert gary tulane university said wuhan origin virus,Conspiracy
新冠病毒来自美国？环球网先炒作再删文为哪般 japanese medium claim started u,Conspiracy
喝板蓝根是否可以预防新冠肺炎 drinking root isatin tinctorial used traditional chinese medicine treat cold cure,False reporting
book predicted outbreak say kim kim say book predicted virus,Conspiracy
谣言​憋气秒能自测是否感染新冠？ holding breath second tell whether,Conspiracy
网传浙江金华一新生儿取名叫戴口罩，官方辟谣：系父母ps chekiang parent name child wear face mask,Conspiracy
【武漢肺炎】火神山醫院高薪招聘清潔員？月薪 萬 提供全套防護裝備 wuhan lei hospital hire hospital worker k rob monthly salary,False reporting
不是墨尔本而是肯尼亚？这个谣，辟了也很暖 viral plane melbourne bringing aid guangzhou turn flight nairobi kenya,False reporting
水果蔬菜的表面会附着病毒？ human contact via fruit supermarket spread virus,Conspiracy
疫情谣言一网打尽no：河北省多地发布疫情紧急通知 message spread huber province released emergency protocol response virus,False reporting
疫情谣言一网打尽no：疫情期间重庆不严查酒驾 message spread chongqing government check drunk driver response virus,False reporting
疫情谣言一网打尽no：多国政要感染新冠肺炎 message spread politician multiple country u brazil would infected,False reporting
辟谣！我的长沙ap可预约购买口罩？假的！ rumor spread face mask could purchased changsha authority corrected message,False reporting
昆明某水果市场出现确诊病例？辟谣了！ message spread fruit market kunming case,Conspiracy
上海支援武汉医生没有减轻当地医院的负担？谣言 shanghai doctor assisting wuhan doctor added problem,False reporting
温州顺丰快递查出四例新冠肺炎，所有人隔离？谣言 jinzhou shunning mail company four case everyone else sent hospital quarantined,Conspiracy
schützt ständiges wasertrinken vor einer coronainfektion message circulating via whatsap drinking water every minute would prevent,Fake remedy
irefuerendes video verbreitet sich ueber whatsap video january criticizing reporting show video people collapsing street,False reporting
la falsa encuesta electoral de la inventada empresa logística que da la victoria al p el article posted blog showing electoral survey popular party shown win majority seat thanks bovid crisis claiming survey done logistics famous organization field,False reporting
billy six filmt angeblich menschenlere krankenhauser ist aber falschen ort german journalist billy six make claim patient examination site berlin,False reporting
ketenbrief angebliche tip eines italienischen arztes zum sind groestenteils falsch oder unbelegt chain mail going around false claim supposed italian doctor,False reporting
wolfgang darg verbreitet thesen die wichtige tatsachen ignorieren established german physician former sad politician spread false claim,False reporting
faketicker klinikum widerspricht fakevideo zu corona one woman posted video standing front clinic munich claiming calm peaceful clinic cause concern,False reporting
photo show private firm distributing face mask manila philippine government distributing face mask free,False reporting
philippine bureau immigration say issue escapee warning wuhan resident escaped quarantine airport philippine,False reporting
world health organization said yet vaccine novel israel sending vaccine wuhan,Fake remedy
australian official dismiss hoax report exposure doctor surgery new south wale town infected people visited doctor office new south wale town,False reporting
pakistan ministry health refutes claim novel found chicken virus found chicken,False reporting
sri lanka health expert stress evidence cannabis boost immunity novel cannabis strengthens immune system,Fake remedy
video filmed novel outbreak people run away man collapsed ground chinese,False reporting
video circulated online since least march month novel outbreak truck carrying disinfection china,False reporting
case novel confirmed zimbabwe february first case diagnosed zimbabwe,False reporting
map forecast based past data realtime satellite reading wuhan increasing emission high number people die bovid need cremation,False reporting
中国万手机用户消失死于新冠肺炎？抗疫路上印度心态复杂 phone disappeared china message spread number disappearance equal number death,Conspiracy
蚊子能传播新冠病毒吗？ message spread mosquito could transmit,False reporting
健康人可以注射特免血浆预防新冠病毒？谣言 message spread injecting special plasma help prevent,False reporting
纳豆能预防新冠肺炎？谣言 message spread nate bean helped prevent,Conspiracy
淡水鱼能传播新冠肺炎？ freshwater fish spread,Conspiracy
生化模式 n标准过滤 绿净系统 汽车真的可以防新冠病毒吗？ car passing n criterion prevent,Conspiracy
宗教学生未证实确诊 allegedly seven religious student confirmed whether,False reporting
「有人得新冠肺炎？！」 中正大學：假消息 student national chung chang university claimed person returned wuhan,False reporting
美媒：新冠病毒源于中国是虚假谣言 american medium claim source virus china,Conspiracy
法國『世界報』：武漢p病毒實驗室是否發生過泄露 ？ french newspaper le monde confirms francis boyle former american professor international law said perfect biological weapon,False reporting
威士忌加蜂蜜水对新冠肺炎有效？谣言 ！ message spread whisky honey cured,Fake remedy
在家自测、只需分钟、潜伏期也能用……这样的新冠病毒自检神器，别信！ message spread home product diagnose minute,Fake remedy
suspicious account spread bovid disinfo armenian facebok group facebok post claiming first case armenia came military outpost soldier infected soldier,Conspiracy
bill gate trend south africa antivaxer conspiracy theory go viral message claiming african vaccine bill gate avoided using plot,Conspiracy
helicopter spraying disinfectant neighborhood stop virus message originally spread india switzerland mexico spread new york city helicopter spraying disinfectant night,False reporting
youtube verbreitet coronavirusverschwörungstheorien und wird bushido zurechtgewiesen article explicitly say youtube apparently make claim created excuse generate unnecessary panic limit freedom,Conspiracy
